concept_id,rendered_value,source_manifest_sha256,retired_on,protected_cues,reason_retired
"detICER","107,832","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detICER|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"detIncrCost","98,148","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detIncrCost|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"detIncrQALY","0.910","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detIncrQALY|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"detIncrLY","1.15","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detIncrLY|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"detIncrLYundisc","2.23","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detIncrLYundisc|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"detCostPerLY","85,603","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detCostPerLY|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"detQALYexercise","11.160","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detQALYexercise|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"detQALYcontrol","10.250","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detQALYcontrol|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"detCostExercise","349,976","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detCostExercise|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"detCostControl","251,828","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detCostControl|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"detQALYctrlUndisc","15.89","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detQALYctrlUndisc|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"detICERstd","70,024","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detICERstd|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"detPerspectiveDelta","37,808","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detPerspectiveDelta|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"detPerspectiveDeltaPct","54","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","detPerspectiveDeltaPct|deterministic|ICER|incremental cost|incremental QALY","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaICER","66,155","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaICER|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaIncrCost","58,617","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaIncrCost|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaIncrQALY","0.886","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaIncrQALY|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaProbCE","98.4","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaProbCE|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaNEpct","84.6","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaNEpct|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
"psaSEpct","14.6","c099eee0eac29867f2321c666ca484667e08a996cf825124e673a1b01bc6fb20","2026-07-15","psaSEpct|PSA|ICER|incremental cost|incremental QALY|P(CE)|convergence","Superseded by the G2-MODEL corrected canonical run; retained for stale-result detection."
